N,wl_2d,wl_3d,avg_2d,avg_3d,ratio,reduction_pct,grid_2d,box_3d
1,0,0,0.0,0.0,1.0,0.0,1x1,1x1x2
2,1,1,1.0,1.0,1.0,0.0,1x2,1x1x2
3,4,4,1.3333333333333333,1.3333333333333333,1.0,0.0,1x3,1x2x2
4,8,8,1.3333333333333333,1.3333333333333333,1.0,0.0,2x2,1x2x2
5,16,16,1.6,1.6,1.0,0.0,2x3,1x3x2
6,25,25,1.6666666666666667,1.6666666666666667,1.0,0.0,2x3,1x3x2
7,40,36,1.9047619047619047,1.7142857142857142,0.9,9.999999999999998,2x4,2x2x2
8,56,48,2.0,1.7142857142857142,0.8571428571428571,14.28571428571429,2x4,2x2x2
9,72,72,2.0,2.0,1.0,0.0,3x3,2x3x2
10,105,89,2.3333333333333335,1.9777777777777779,0.8476190476190476,15.238095238095239,2x5,2x3x2
11,124,112,2.2545454545454544,2.036363636363636,0.9032258064516129,9.677419354838712,3x4,2x3x2
12,154,136,2.3333333333333335,2.0606060606060606,0.8831168831168831,11.688311688311693,3x4,2x3x2
13,200,180,2.5641025641025643,2.3076923076923075,0.9,9.999999999999998,3x5,2x4x2
14,235,209,2.5824175824175826,2.2967032967032965,0.8893617021276595,11.063829787234047,3x5,2x4x2
15,280,248,2.6666666666666665,2.361904761904762,0.8857142857142857,11.428571428571432,3x5,2x4x2
16,320,288,2.6666666666666665,2.4,0.9,9.999999999999998,4x4,2x4x2
17,396,324,2.911764705882353,2.3823529411764706,0.8181818181818182,18.181818181818176,3x6,3x3x2
18,459,369,3.0,2.411764705882353,0.803921568627451,19.6078431372549,3x6,3x3x2
19,500,460,2.9239766081871346,2.690058479532164,0.92,7.9999999999999964,4x5,2x5x2
20,570,520,3.0,2.736842105263158,0.9122807017543859,8.771929824561408,4x5,2x5x2
21,700,560,3.3333333333333335,2.6666666666666665,0.8,19.999999999999996,3x7,3x4x2
22,745,617,3.225108225108225,2.670995670995671,0.8281879194630872,17.18120805369128,4x6,3x4x2
23,824,688,3.2569169960474307,2.719367588932806,0.8349514563106796,16.504854368932044,4x6,3x4x2
24,920,760,3.3333333333333335,2.753623188405797,0.8260869565217391,17.391304347826086,4x6,3x4x2
25,1000,896,3.3333333333333335,2.986666666666667,0.896,10.399999999999999,5x5,3x5x2
26,1155,969,3.5538461538461537,2.9815384615384617,0.8389610389610389,16.10389610389611,4x7,3x5x2
27,1260,1052,3.58974358974359,2.9971509971509973,0.834920634920635,16.507936507936506,4x7,3x5x2
28,1386,1136,3.6666666666666665,3.005291005291005,0.8196248196248196,18.03751803751804,4x7,3x5x2
29,1460,1240,3.5960591133004924,3.0541871921182264,0.8493150684931506,15.068493150684937,5x6,3x5x2
30,1595,1345,3.6666666666666665,3.0919540229885056,0.8432601880877743,15.673981191222575,5x6,3x5x2
31,1824,1424,3.92258064516129,3.0623655913978496,0.7807017543859649,21.92982456140351,4x8,4x4x2
32,1984,1536,4.0,3.096774193548387,0.7741935483870968,22.580645161290324,4x8,4x4x2
33,2056,1756,3.893939393939394,3.3257575757575757,0.8540856031128404,14.591439688715957,5x7,3x6x2
34,2205,1873,3.93048128342246,3.338680926916221,0.8494331065759637,15.05668934240363,5x7,3x6x2
35,2380,2016,4.0,3.388235294117647,0.8470588235294118,15.294117647058824,5x7,3x6x2
36,2520,2160,4.0,3.4285714285714284,0.8571428571428571,14.28571428571429,6x6,3x6x2
37,2804,2228,4.21021021021021,3.3453453453453452,0.7945791726105563,20.542082738944366,5x8,4x5x2
38,2971,2361,4.226173541963016,3.3584637268847795,0.7946819252776843,20.531807472231566,5x8,4x5x2
39,3160,2520,4.2645074224021595,3.4008097165991904,0.7974683544303798,20.253164556962023,5x8,4x5x2
40,3380,2680,4.333333333333333,3.4358974358974357,0.7928994082840237,20.710059171597628,5x8,4x5x2
41,3500,3052,4.2682926829268295,3.7219512195121953,0.872,12.8,6x7,3x7x2
42,3731,3241,4.333333333333333,3.7642276422764227,0.8686679174484052,13.133208255159479,6x7,3x7x2
